TYPE;Geom;Geo Local Area;geo_point_2d
Pedestrian Actuated Signal;"{""coordinates"": [-123.17397631675047, 49.26417133814138], ""type"": ""Point""}";Kitsilano;49.26417133814138, -123.17397631675047
Pedestrian Actuated Signal;"{""coordinates"": [-123.07689030105895, 49.23685251623639], ""type"": ""Point""}";Kensington-Cedar Cottage;49.23685251623639, -123.07689030105895
Pedestrian Actuated Signal;"{""coordinates"": [-123.09068364472964, 49.22827778015981], ""type"": ""Point""}";Sunset;49.22827778015981, -123.09068364472964
Pedestrian Actuated Signal;"{""coordinates"": [-123.09298896649051, 49.262505808060105], ""type"": ""Point""}";Mount Pleasant;49.262505808060105, -123.09298896649051
Pedestrian Actuated Signal;"{""coordinates"": [-123.12676292231859, 49.258719853040525], ""type"": ""Point""}";Fairview;49.258719853040525, -123.12676292231859
Semi Actuated;"{""coordinates"": [-123.21541183748154, 49.25838769179354], ""type"": ""Point""}";;49.25838769179354, -123.21541183748154
Pedestrian Actuated Signal;"{""coordinates"": [-123.06965535919085, 49.26779247529843], ""type"": ""Point""}";Grandview-Woodland;49.26779247529843, -123.06965535919085
Pedestrian Actuated Signal;"{""coordinates"": [-123.10163191772077, 49.237244347226884], ""type"": ""Point""}";Riley Park;49.237244347226884, -123.10163191772077
Semi Actuated;"{""coordinates"": [-123.13798531435121, 49.2678926948315], ""type"": ""Point""}";Fairview;49.2678926948315, -123.13798531435121
Fixed Time;"{""coordinates"": [-123.09773525875322, 49.28315612698177], ""type"": ""Point""}";Strathcona;49.28315612698177, -123.09773525875322
Pedestrian Actuated Signal;"{""coordinates"": [-123.09010232153913, 49.25010409609321], ""type"": ""Point""}";Riley Park;49.25010409609321, -123.09010232153913
Pedestrian Actuated Signal;"{""coordinates"": [-123.0494651632768, 49.269504837038305], ""type"": ""Point""}";Hastings-Sunrise;49.269504837038305, -123.0494651632768
Pedestrian Actuated Signal;"{""coordinates"": [-123.14812994793552, 49.26375174928578], ""type"": ""Point""}";Kitsilano;49.26375174928578, -123.14812994793552
Pedestrian Actuated Signal;"{""coordinates"": [-123.05657497940504, 49.27746639153919], ""type"": ""Point""}";Grandview-Woodland;49.27746639153919, -123.05657497940504
Semi Actuated;"{""coordinates"": [-123.09095311706716, 49.21825548091153], ""type"": ""Point""}";Sunset;49.21825548091153, -123.09095311706716
Pedestrian Actuated Signal;"{""coordinates"": [-123.12992873236453, 49.28791413557617], ""type"": ""Point""}";West End;49.28791413557617, -123.12992873236453
Pedestrian Actuated Signal;"{""coordinates"": [-123.07742285412472, 49.22179755189666], ""type"": ""Point""}";Sunset;49.22179755189666, -123.07742285412472
