TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,CRIME_CATEGORY
Break and Enter Commercial,2020,3,11,2,59,8XX POWELL ST,Strathcona,493715.4982,5458907.8884,Commercial
Break and Enter Commercial,2020,3,30,15,19,8XX POWELL ST,Strathcona,493718.7733,5458916.8796,Commercial
Break and Enter Commercial,2020,4,5,1,12,8XX POWELL ST,Strathcona,493718.7733,5458916.8796,Commercial
Break and Enter Commercial,2020,3,3,3,25,8XX POWELL ST,Strathcona,493845.7348,5458899.5356,Commercial
Break and Enter Commercial,2020,4,19,23,23,8XX POWELL ST,Strathcona,493845.7348,5458899.5356,Commercial
Break and Enter Commercial,2020,8,17,2,46,8XX RICHARDS ST,Central Business District,491359.418,5458527.1732,Commercial
Break and Enter Commercial,2020,9,7,20,33,8XX RICHARDS ST,Central Business District,491359.418,5458527.1732,Commercial
Break and Enter Commercial,2020,4,17,5,40,8XX ROBSON ST,Central Business District,491204.8396,5458814.6891,Commercial
Break and Enter Commercial,2020,2,22,22,38,8XX SEYMOUR ST,Central Business District,491281.4321,5458596.987,Commercial
Break and Enter Commercial,2020,5,18,6,57,8XX SEYMOUR ST,Central Business District,491281.4321,5458596.987,Commercial
Break and Enter Commercial,2020,1,19,19,30,8XX SEYMOUR ST,Central Business District,491316.0496,5458632.0695,Commercial
Break and Enter Commercial,2020,4,20,7,23,8XX SEYMOUR ST,Central Business District,491316.0496,5458632.0695,Commercial
Break and Enter Commercial,2020,1,12,21,43,8XX TERMINAL AVE,Strathcona,493784.1126,5457522.5487,Commercial
Break and Enter Commercial,2020,11,22,15,26,8XX TERMINAL AVE,Strathcona,493784.1126,5457522.5487,Commercial
Break and Enter Commercial,2020,9,18,3,38,8XX THURLOW ST,West End,490911.88,5459099.4825,Commercial
Break and Enter Commercial,2020,3,23,0,0,8XX W 12TH AVE,Fairview,491033.3519,5456432.3053,Commercial
Break and Enter Commercial,2020,3,27,20,0,8XX W 13TH AVE,Fairview,490977.3757,5456316.8787,Commercial
Break and Enter Commercial,2020,7,15,0,0,8XX W 15TH AVE,Fairview,491091.5037,5456119.7939,Commercial
